tgl_akhir_pelaksanaan_kontrak;kd_satker_str;tgl_pengumuman_paket;nama_klpd;nip_ppk;pagu;jenis_klpd;nama_paket;status_delete_rup;kd_satker;nama_satker;kd_klpd;kd_rup;tgl_awal_pelaksanaan_kontrak;tgl_buat_paket;kd_klpd_penyelenggara;nama_klpd_penyelenggara;tipe_swakelola;kd_rup_lokal;status_umumkan_rup;volume_pekerjaan;uraian_pekerjaan;nama_satker_penyelenggara;tahun_anggaran;username_ppk;status_aktif_rup;nama_ppk;last_update_ref
2026-11-01;259322;2026-03-03T12:34:47.289Z;Kementerian Ketenagakerjaan;***************002;638220000;KEMENTERIAN; Pekerjaan Swakelola Jasa Pendampingan TKM Lanjutan;FALSE;14075;Balai Besar Perluasan Kesempatan Kerja Bandung Barat;K34;42916134;2026-09-01;2026-02-24T00:00:00Z;PT1;Universitas Padjadjaran;2;;Terumumkan;1 PAKET;"1. Penyediaan tenaga pendamping usaha sesuai dengan sebaran lokasi TKM Lanjutan yang ditentukan 
2. Penugasan pendamping TKM Lanjutan 
3. Pelaksanaan temu bisnis 
4. Monitoring dan evaluasi kinerja pendamping TKM Lanjutan 
5. Penyusunan kajian berdasarkan topik yang telah ditentukan 
6. Penyusunan laporan kegiatan pendampingan TKM Lanjutan";Universitas Padjadjaran;2026;************************048;TRUE;W**** M********;3ce05f5c-6c12-57dc-b061-a4988015c190.WjqGWM0HEjNS_EpR.L7GhsbZnne-nRI2cvyxqd91SpGYOeaHYaSnYpzkfhqw
2026-12-01;350084;2025-12-29T10:58:38.842Z;Kementerian Ketenagakerjaan;***************002;30298000;KEMENTERIAN;Keperluan Sehari-Hari Kantor Untuk Pegawai;FALSE;101569;Balai Besar Keselamatan dan Kesehatan Kerja Jakarta;K34;41582834;2026-01-01;2025-12-22T00:00:00Z;;;1;;Terumumkan;1 paket;"1. Belanja Keperluan Perkantoran; 
";;2026;**********194;TRUE;W**** H*******;3ce05f5c-6c12-57dc-b061-a4988015c190.WjqGWM0HEjNS_EpR.L7GhsbZnne-nRI2cvyxqd91SpGYOeaHYaSnYpzkfhqw
2026-12-01;626041;2026-02-04T18:02:14.728Z;Kementerian Ketenagakerjaan;***************005;18000000000;KEMENTERIAN;Bantuan Padat Karya yang Diberikan kepada Lembaga - Bantuan Padat Karya yang Diberikan kepada Lembaga;FALSE;179088;Direktorat Bina Perluasan Kesempatan Kerja;K34;42092444;2026-01-01;2026-01-20T00:00:00Z;;;1;;Terumumkan;1 paket;"1. Belanja Barang untuk Bantuan Lainnya yang Memiliki Karakteristik Bantuan Pemerintah ; 
";;2026;**************194;TRUE;E*** Y********, S.K**, M.S*;3ce05f5c-6c12-57dc-b061-a4988015c190.WjqGWM0HEjNS_EpR.L7GhsbZnne-nRI2cvyxqd91SpGYOeaHYaSnYpzkfhqw
2026-12-01;626041;2026-02-04T18:02:14.728Z;Kementerian Ketenagakerjaan;***************005;17500000000;KEMENTERIAN;Pemberian Bantuan Tenaga Kerja Mandiri Pemula Tematik (Kemiskinan Ekstrim) - Bantuan Tenaga Kerja Mandiri (TKM) Pemula Tematik (Kemiskinan Ekstrem);FALSE;179088;Direktorat Bina Perluasan Kesempatan Kerja;K34;42092596;2026-01-01;2026-01-20T00:00:00Z;;;1;;Terumumkan;1 paket;"1. Belanja Barang untuk Bantuan Lainnya yang Memiliki Karakteristik Bantuan Pemerintah ; 
";;2026;**************194;TRUE;E*** Y********, S.K**, M.S*;3ce05f5c-6c12-57dc-b061-a4988015c190.WjqGWM0HEjNS_EpR.L7GhsbZnne-nRI2cvyxqd91SpGYOeaHYaSnYpzkfhqw
2026-12-01;452533;2026-06-04T11:44:44.632Z;Kementerian Ketenagakerjaan;***************001;508200000;KEMENTERIAN;Belanja Bahan Pelaksanaan Kegiatan PSKK ;FALSE;14108;Sekretariat Badan Nasional Sertifikasi Profesi;K34;43479714;2026-04-01;2026-06-04T00:00:00Z;;;3;;Terumumkan;4 Paket;"1. Konsumsi Penyelenggaraan Uji [20 org x 2 kl x 242 pkt] [9680.0 OP]
2. Penggandaan Materi Uji [242.0 PKT]
3. ATK dan Komputer Supplies [242.0 PKT]
4. Bahan Uji Kompetensi [242.0 PKT]";;2026;****************194;TRUE;S**** M******, S.E.;3ce05f5c-6c12-57dc-b061-a4988015c190.WjqGWM0HEjNS_EpR.L7GhsbZnne-nRI2cvyxqd91SpGYOeaHYaSnYpzkfhqw
2026-11-01;259322;2026-03-03T12:34:47.289Z;Kementerian Ketenagakerjaan;***************002;638220000;KEMENTERIAN; Pekerjaan Swakelola Jasa Pendampingan TKM Lanjutan;FALSE;14075;Balai Besar Perluasan Kesempatan Kerja Bandung Barat;K34;42916230;2026-09-01;2026-02-24T00:00:00Z;PT6;Universitas Andalas;2;;Terumumkan;1 PAKET;"1. Penyediaan tenaga pendamping usaha sesuai dengan sebaran lokasi TKM Lanjutan yang ditentukan 
2. Penugasan pendamping TKM Lanjutan 
3. Pelaksanaan temu bisnis 
4. Monitoring dan evaluasi kinerja pendamping TKM Lanjutan 
5. Penyusunan kajian berdasarkan topik yang telah ditentukan 
6. Penyusunan laporan kegiatan pendampingan TKM Lanjutan";Universitas Andalas;2026;************************048;TRUE;W**** M********;3ce05f5c-6c12-57dc-b061-a4988015c190.WjqGWM0HEjNS_EpR.L7GhsbZnne-nRI2cvyxqd91SpGYOeaHYaSnYpzkfhqw
2026-12-01;452652;2026-03-11T10:03:07.299Z;Kementerian Ketenagakerjaan;***************003;98321000;KEMENTERIAN;UPTD BLK Kab. Takalar;FALSE;14123;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;K34;43132727;2026-04-01;2026-03-11T00:00:00Z;D413;Kab. Takalar;2;;Terumumkan;1 paket;"1. Belanja Barang Non Operasional Lainnya; 
2. Belanja Barang untuk Bantuan Lainnya yang Memiliki Karakteristik Bantuan Pemerintah ; 
3. Belanja Honor Operasional Satuan Kerja; 
4. Belanja Honor Output Kegiatan; 
5. Belanja Jasa Profesi; 
6. Belanja Perjalanan Dinas Biasa; 
";Dinas Koperasi, Usaha Kecil, Menengah, Tenaga Kerja Dan Transmigrasi;2026;*****194;TRUE;Y*** S******;3ce05f5c-6c12-57dc-b061-a4988015c190.WjqGWM0HEjNS_EpR.L7GhsbZnne-nRI2cvyxqd91SpGYOeaHYaSnYpzkfhqw
2026-12-01;452652;2026-03-11T10:03:30.008Z;Kementerian Ketenagakerjaan;***************003;107941000;KEMENTERIAN;UPTD BLK Kab. Luwu Utara;FALSE;14123;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;K34;43132241;2026-04-01;2026-03-11T00:00:00Z;D396;Kab. Luwu Utara;2;;Terumumkan;1 paket;"1. Belanja Honor Operasional Satuan Kerja; 
2. Belanja Honor Output Kegiatan; 
3. Belanja Barang Non Operasional Lainnya; 
4. Belanja Jasa Profesi; 
5. Belanja Perjalanan Dinas Biasa; 
6. Belanja Barang untuk Bantuan Lainnya yang Memiliki Karakteristik Bantuan Pemerintah ; 
";Dinas Transmigrasi dan Tenaga Kerja;2026;*****194;TRUE;Y*** S******;3ce05f5c-6c12-57dc-b061-a4988015c190.WjqGWM0HEjNS_EpR.L7GhsbZnne-nRI2cvyxqd91SpGYOeaHYaSnYpzkfhqw
2026-12-01;452652;2026-03-11T09:41:12.022Z;Kementerian Ketenagakerjaan;***************003;110743000;KEMENTERIAN;UPTD BLK Limboto;FALSE;14123;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;K34;43131352;2026-04-01;2026-03-11T00:00:00Z;D81;Kab. Gorontalo;2;;Terumumkan;1 paket;"1. Belanja Honor Operasional Satuan Kerja; 
2. Belanja Honor Output Kegiatan; 
3. Belanja Barang Non Operasional Lainnya; 
4. Belanja Jasa Profesi; 
5. Belanja Perjalanan Dinas Biasa; 
6. Belanja Barang untuk Bantuan Lainnya yang Memiliki Karakteristik Bantuan Pemerintah ; 
";DINAS TENAGA KERJA DAN TRANSMIGRASI;2026;*****194;TRUE;Y*** S******;3ce05f5c-6c12-57dc-b061-a4988015c190.WjqGWM0HEjNS_EpR.L7GhsbZnne-nRI2cvyxqd91SpGYOeaHYaSnYpzkfhqw
2026-12-01;452652;2026-03-11T09:41:19.695Z;Kementerian Ketenagakerjaan;***************003;108633000;KEMENTERIAN;UPTD LLK UKM Kota Gorontalo;FALSE;14123;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;K34;43130405;2026-04-01;2026-03-11T00:00:00Z;D82;Kota Gorontalo;2;;Terumumkan;1 paket;"1. Belanja Honor Operasional Satuan Kerja; 
2. Belanja Honor Output Kegiatan; 
3. Belanja Barang Non Operasional Lainnya; 
4. Belanja Jasa Profesi; 
5. Belanja Perjalanan Dinas Biasa; 
6. Belanja Barang untuk Bantuan Lainnya yang Memiliki Karakteristik Bantuan Pemerintah ; 
";Dinas Tenaga Kerja Koperasi dan Usaha Kecil Menengah;2026;*****194;TRUE;Y*** S******;3ce05f5c-6c12-57dc-b061-a4988015c190.WjqGWM0HEjNS_EpR.L7GhsbZnne-nRI2cvyxqd91SpGYOeaHYaSnYpzkfhqw
2026-12-01;452652;2026-03-11T10:35:36.418Z;Kementerian Ketenagakerjaan;***************003;167616000;KEMENTERIAN;UPTD LLK UKM Kab. Morowali;FALSE;14123;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;K34;43133985;2026-04-01;2026-03-11T00:00:00Z;D426;Kab. Morowali;2;;Terumumkan;1 paket;"1. Belanja Honor Output Kegiatan; 
2. Belanja Jasa Profesi; 
3. Belanja Honor Operasional Satuan Kerja; 
4. Belanja Barang Non Operasional Lainnya; 
5. Belanja Perjalanan Dinas Biasa; 
6. Belanja Barang untuk Bantuan Lainnya yang Memiliki Karakteristik Bantuan Pemerintah ; 
";Dinas Transmigrasi Dan Tenaga Kerja Daerah;2026;*****194;TRUE;Y*** S******;3ce05f5c-6c12-57dc-b061-a4988015c190.WjqGWM0HEjNS_EpR.L7GhsbZnne-nRI2cvyxqd91SpGYOeaHYaSnYpzkfhqw
2026-11-01;259322;2026-03-03T12:34:47.289Z;Kementerian Ketenagakerjaan;***************002;638220000;KEMENTERIAN; Pekerjaan Swakelola Jasa Pendampingan TKM Lanjutan;FALSE;14075;Balai Besar Perluasan Kesempatan Kerja Bandung Barat;K34;42916287;2026-09-01;2026-02-24T00:00:00Z;I122;Universitas Negeri Jakarta;2;;Terumumkan;1 PAKET;"1. Penyediaan tenaga pendamping usaha sesuai dengan sebaran lokasi TKM Lanjutan yang ditentukan 
2. Penugasan pendamping TKM Lanjutan 
3. Pelaksanaan temu bisnis 
4. Monitoring dan evaluasi kinerja pendamping TKM Lanjutan 
5. Penyusunan kajian berdasarkan topik yang telah ditentukan 
6. Penyusunan laporan kegiatan pendampingan TKM Lanjutan";Universitas Negeri Jakarta;2026;************************048;TRUE;W**** M********;3ce05f5c-6c12-57dc-b061-a4988015c190.WjqGWM0HEjNS_EpR.L7GhsbZnne-nRI2cvyxqd91SpGYOeaHYaSnYpzkfhqw
